1,Time,The way in which mugging was done and property looted,Latitude,Longitute,,,,,,,,,,,
214,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.86938358,77.58391056,,,,,,,,,,,
215,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.555468,77.325223,,,,,,,,,,,
216,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.87732329,77.56721483,,,,,,,,,,,
217,09:00-12:00,Snatching while on the move (Accused on bike) from front,12.89644747,77.56673681,,,,,,,,,,,
218,09:00-12:00,Snatching while on the move (Accused on bike) from back,12.89280005,77.55501449,,,,,,,,,,,
219,12:00-15:00,Snatching while on the move (Accused on bike) from front,12.9094512001,77.5872033001,,,,,,,,,,,
220,03:00-06:00,Snatching by walk & escaping with bike,12.938924,77.584671,,,,,,,,,,,
221,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.92826252,77.5495424,,,,,,,,,,,
222,15:00-18:00,Snatching by walk & escaping with bike,12.553906,77.34024,,,,,,,,,,,
223,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.89038894,77.57899331,,,,,,,,,,,
224,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.91900624,77.5453977,,,,,,,,,,,
225,06:00-09:00,Snatching by walk & escaping with bike,12.551216,77.34101,,,,,,,,,,,
226,18:00-21:00,Snatching while on the move (Accused on bike) from back,13.00014682,77.56793108,,,,,,,,,,,
227,12:00-15:00,Snatching while on the move (Accused on bike) from back,13.00760463,77.56360069,,,,,,,,,,,
228,21:00-00:00,Snatching by walk & escaping with bike,12.99539042,77.5640166,,,,,,,,,,,
229,21:00-00:00,Snatching while on the move (Accused on bike) from front,12.99641627,77.56128808,,,,,,,,,,,
230,09:00-12:00,By other techniques ,12.98234951,77.56489726,,,,,,,,,,,
231,06:00-09:00,Attention diversion by indulging in small talk,12.98590944,77.552045,,,,,,,,,,,
232,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.98590944,77.552045,,,,,,,,,,,
233,06:00-09:00,Snatching while on the move (Accused on bike) from back,12.9893231805,77.5546349749,,,,,,,,,,,
234,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.9893231805,77.5546349749,,,,,,,,,,,
235,18:00-21:00,Snatching by walk & escaping with bike,12.9848771,77.54968513,,,,,,,,,,,
236,18:00-21:00,Snatching by walk & escaping with bike,12.98446341,77.55653928,,,,,,,,,,,
237,21:00-00:00,Snatching while on the move (Accused on bike) from back,12.98446341,77.55653928,,,,,,,,,,,
238,06:00-09:00,Snatching by walk & escaping with bike,12.9954938,77.55720325,,,,,,,,,,,
239,18:00-21:00,Snatching by walk & escaping with bike,12.9928817,77.5556478,,,,,,,,,,,
240,18:00-21:00,Snatching by walk & escaping with bike,12.9965531699,77.5528269187,,,,,,,,,,,
241,06:00-09:00,Snatching while on the move (Accused on bike) from front,12.990181321,77.5529282784,,,,,,,,,,,
242,18:00-21:00,Snatching while on the move (Accused on bike) from back,12.9896684,77.56084467,,,,,,,,,,,
243,09:00-12:00,Snatching by walk & escaping with bike,13.0076367201,77.5493009966,,,,,,,,,,,
244,09:00-12:00,Snatching by walk & escaping with bike,13.0076367201,77.5493009966,,,,,,,,,,,
245,06:00-09:00,Snatching by walk & escaping with bike,13.0062720326,77.5563439795,,,,,,,,,,,
246,06:00-09:00,Snatching while on the move (Accused on bike) from back,13.0055619338,77.5578227377,,,,,,,,,,,
247,06:00-09:00,Snatching by walk & escaping with bike,12.99710879,77.56470486,,,,,,,,,,,
248,15:00-18:00,Snatching while on the move (Accused on bike) from back,12.99710879,77.56470486,,,,,,,,,,,
249,18:00-21:00,Snatching while on the move (Accused on bike) from front,13.00480686,77.55277794,,,,,,,,,,,
250,12:00-15:00,Presence of more than 1 accused,13.00241905,77.54326303,,,,,,,,,,,
251,06:00-09:00,Snatching by walk & escaping with bike,12.99936138,77.54785053,,,,,,,,,,,
252,03:00-06:00,Accused was on foot,13.00376535,77.54023878,,,,,,,,,,,
253,18:00-21:00,Snatching by walk & escaping with bike,12.99871747,77.54326833,,,,,,,,,,,
254,18:00-21:00,Accused was on foot,13.02034629,77.51245119,,,,,,,,,,,
255,03:00-06:00,Snatching with threat of assault,13.01956935,77.50940044,,,,,,,,,,,
256,18:00-21:00,Presence of more than 1 accused,13.01488302,77.51642787,,,,,,,,,,,
257,Male,2 Wheeler,black,KA-10-H-8068,,,,,,,,,,,
258,12:00-15:00,Snatching by walk & escaping with bike,13.0059378,77.52845192,,,,,,,,,,,
259,03:00-06:00,By other techniques ,13.00076663,77.50670482,,,,,,,,,,,
260,15:00-18:00,Snatching by walk & escaping with bike,13.0113054681,77.5320734194,,,,,,,,,,,
261,18:00-21:00,Snatching by walk & escaping with bike,13.0121161645,77.5311245482,,,,,,,,,,,
262,06:00-09:00,Snatching by walk & escaping with bike,13.0115287357,77.5396494321,,,,,,,,,,,
263,03:00-06:00,Accused was on foot,13.0152351524,77.5422059015,,,,,,,,,,,
264,15:00-18:00,Accused came in 3 or 4 wheeler,13.0110542802,77.5326242613,,,,,,,,,,,
265,12:00-15:00,Snatching by walk & escaping with bike,13.01972727,77.55858031,,,,,,,,,,,
266,03:00-06:00,Snatching while on the move (Accused on bike) from back,13.0269499,77.53528814,,,,,,,,,,,
267,18:00-21:00,Accused was on foot,13.026832,77.5196811,,,,,,,,,,,
268,06:00-09:00,Snatching by walk & escaping with bike,13.04288562,77.48309061,,,,,,,,,,,
269,12:00-15:00,Accused was on foot,13.04468,77.5121533,,,,,,,,,,,
270,06:00-09:00,Snatching by walk & escaping with bike,13.033525,77.5060154,,,,,,,,,,,
271,09:00-12:00,Attention diversion by indulging in small talk,13.04378,77.5179891,,,,,,,,,,,
272,21:00-00:00,Snatching by walk & escaping with bike,13.045114,77.5229618,,,,,,,,,,,
273,15:00-18:00,Snatching while on the move (Accused on bike) from front,13.03829,77.4888584,,,,,,,,,,,
274,06:00-09:00,Snatching while on the move (Accused on bike) from back,13.048741,77.5057184,,,,,,,,,,,
275,12:00-15:00,Snatching by walk & escaping with bike,13.03191998,77.49837176,,,,,,,,,,,
276,12:00-15:00,Snatching by walk & escaping with bike,13.03191998,77.49837176,,,,,,,,,,,
277,18:00-21:00,Accused was on foot,13.06144537,77.49956575,,,,,,,,,,,
278,09:00-12:00,Snatching by walk & escaping with bike,13.03535282,77.5026818,,,,,,,,,,,
279,12:00-15:00,The co-accused was waiting at a distance,13.02735561,77.49719928,,,,,,,,,,,
280,09:00-12:00,Snatching by walk & escaping with bike,13.05780243,77.50418397,,,,,,,,,,,
281,09:00-12:00,Attention diversion by indulging in small talk,13.0367752,77.49875888,,,,,,,,,,,
